ProviderName, EntitiesCount, ActionName, Time(h:MM:ss.mmmmmmm)
RavenDB, 1, GetSimpleEntity, 0:00:00,0989226
RavenDB, 1, GetComplexEntity, 0:00:00,0323064
RavenDB, 1, GetSimpleEntityWithIndex, 0:00:00,0001858
RavenDB, 1, GetComplexEntityWithIndex, 0:00:00,0001193
RavenDB, 1, GetAllSimpleEntities, 0:00:00,0222333
RavenDB, 1, GetAllComplexEntities, 0:00:00,0223327
RavenDB, 1, AddSimpleEntity, 0:00:00,1143619
RavenDB, 1, AddComplexEntity, 0:00:00,0211617
RavenDB, 1, UpdateSimpleEntity, 0:00:00,0236367
RavenDB, 1, UpdateComplexEntity, 0:00:00,0212454
RavenDB, 100, GetSimpleEntity, 0:00:00,1035458
RavenDB, 100, GetComplexEntity, 0:00:00,0346227
RavenDB, 100, GetSimpleEntityWithIndex, 0:00:00,0002252
RavenDB, 100, GetComplexEntityWithIndex, 0:00:00,000151
RavenDB, 100, GetAllSimpleEntities, 0:00:00,0324047
RavenDB, 100, GetAllComplexEntities, 0:00:00,0229842
RavenDB, 100, AddSimpleEntity, 0:00:00,1088242
RavenDB, 100, AddComplexEntity, 0:00:00,0243301
RavenDB, 100, UpdateSimpleEntity, 0:00:00,0241946
RavenDB, 100, UpdateComplexEntity, 0:00:00,0259809
RavenDB, 2000, GetSimpleEntity, 0:00:00,0965143
RavenDB, 2000, GetComplexEntity, 0:00:00,0335052
RavenDB, 2000, GetSimpleEntityWithIndex, 0:00:00,0002025
RavenDB, 2000, GetComplexEntityWithIndex, 0:00:00,0001307
RavenDB, 2000, GetAllSimpleEntities, 0:00:00,0578403
RavenDB, 2000, GetAllComplexEntities, 0:00:00,0975648
RavenDB, 2000, AddSimpleEntity, 0:00:00,398508
RavenDB, 2000, AddComplexEntity, 0:00:00,1460069
RavenDB, 2000, UpdateSimpleEntity, 0:00:00,2341643
RavenDB, 2000, UpdateComplexEntity, 0:00:00,0724764
RavenDB, 4000, GetSimpleEntity, 0:00:00,0985308
RavenDB, 4000, GetComplexEntity, 0:00:00,0377266
RavenDB, 4000, GetSimpleEntityWithIndex, 0:00:00,0001912
RavenDB, 4000, GetComplexEntityWithIndex, 0:00:00,0001424
RavenDB, 4000, GetAllSimpleEntities, 0:00:00,0792537
RavenDB, 4000, GetAllComplexEntities, 0:00:00,1600284
RavenDB, 4000, AddSimpleEntity, 0:00:00,5189299
RavenDB, 4000, AddComplexEntity, 0:00:00,2217531
RavenDB, 4000, UpdateSimpleEntity, 0:00:00,2500867
RavenDB, 4000, UpdateComplexEntity, 0:00:00,2024199
RavenDB, 8000, GetSimpleEntity, 0:00:00,1023446
RavenDB, 8000, GetComplexEntity, 0:00:00,0343913
RavenDB, 8000, GetSimpleEntityWithIndex, 0:00:00,0001709
RavenDB, 8000, GetComplexEntityWithIndex, 0:00:00,0001147
RavenDB, 8000, GetAllSimpleEntities, 0:00:00,1235237
RavenDB, 8000, GetAllComplexEntities, 0:00:00,4049762
RavenDB, 8000, AddSimpleEntity, 0:00:00,8334625
RavenDB, 8000, AddComplexEntity, 0:00:00,461673
RavenDB, 8000, UpdateSimpleEntity, 0:00:00,6371071
RavenDB, 8000, UpdateComplexEntity, 0:00:00,2162987
RavenDB, 20000, GetSimpleEntity, 0:00:00,0260411
RavenDB, 20000, GetComplexEntity, 0:00:00,0190311
RavenDB, 20000, GetSimpleEntityWithIndex, 0:00:00,0000222
RavenDB, 20000, GetComplexEntityWithIndex, 0:00:00,0000047
RavenDB, 20000, GetAllSimpleEntities, 0:00:00,2348662
RavenDB, 20000, GetAllComplexEntities, 0:00:00,6836159
RavenDB, 20000, AddSimpleEntity, 0:00:00,5107536
RavenDB, 20000, AddComplexEntity, 0:00:00,5691837
RavenDB, 20000, UpdateSimpleEntity, 0:00:00,508304
RavenDB, 20000, UpdateComplexEntity, 0:00:00,6335349
RavenDB, 20000, DeleteSimpleEntity, 0:00:00,5536036
RavenDB, 20000, DeleteComplexEntity, 0:00:00,5556323
